#     r             phi             Phi             Pi             Ricci
0.2120575041    0.9138360851   -1.6469058731   -0.0177744623   -3.6781958672
0.2136283004    0.9112420614   -1.6558962920   -0.0177255990   -3.6502256314
0.2151990968    0.9086339695   -1.6648180276   -0.0176765665   -3.6226638948
0.2167698931    0.9060119175   -1.6736706678   -0.0176273671   -3.5955197460
0.2183406894    0.9033760144   -1.6824538029   -0.0175780034   -3.5688021647
0.2199114858    0.9007263696   -1.6911670256   -0.0175284777   -3.5425200187
0.2214822821    0.8980630933   -1.6998099311   -0.0174787924   -3.5166820604
0.2230530784    0.8953862962   -1.7083821167   -0.0174289499   -3.4912969233
0.2246238747    0.8926960898   -1.7168831827   -0.0173789525   -3.4663731186
0.2261946711    0.8899925861   -1.7253127314   -0.0173288023   -3.4419190322
0.2277654674    0.8872758977   -1.7336703678   -0.0172785018   -3.4179429212
0.2293362637    0.8845461379   -1.7419556996   -0.0172280530   -3.3944529109
0.2309070600    0.8818034205   -1.7501683369   -0.0171774581   -3.3714569912
0.2324778564    0.8790478601   -1.7583078924   -0.0171267192   -3.3489630140
0.2340486527    0.8762795718   -1.7663739815   -0.0170758385   -3.3269786900
0.2356194490    0.8734986713   -1.7743662223   -0.0170248180   -3.3055115855
0.2371902453    0.8707052748   -1.7822842356   -0.0169736596   -3.2845691198
0.2387610417    0.8678994993   -1.7901276448   -0.0169223655   -3.2641585620
0.2403318380    0.8650814622   -1.7978960761   -0.0168709374   -3.2442870283
0.2419026343    0.8622512816   -1.8055891587   -0.0168193773   -3.2249614795
0.2434734307    0.8594090762   -1.8132065243   -0.0167676870   -3.2061887178
0.2450442270    0.8565549652   -1.8207478078   -0.0167158684   -3.1879753848
0.2466150233    0.8536890683   -1.8282126466   -0.0166639232   -3.1703279585
0.2481858196    0.8508115060   -1.8356006813   -0.0166118532   -3.1532527510
0.2497566160    0.8479223991   -1.8429115553   -0.0165596600   -3.1367559061
0.2513274123    0.8450218692   -1.8501449151   -0.0165073453   -3.1208433971
0.2528982086    0.8421100382   -1.8573004101   -0.0164549107   -3.1055210244
0.2544690049    0.8391870288   -1.8643776927   -0.0164023577   -3.0907944133
0.2560398013    0.8362529641   -1.8713764187   -0.0163496879   -3.0766690122
0.2576105976    0.8333079677   -1.8782962465   -0.0162969027   -3.0631500905
0.2591813939    0.8303521639   -1.8851368380   -0.0162440035   -3.0502427365
0.2607521902    0.8273856773   -1.8918978582   -0.0161909918   -3.0379518559
0.2623229866    0.8244086333   -1.8985789752   -0.0161378689   -3.0262821698
